UBE2Q1	-2.26
RNF14	-0.58
RNF10	-0.85
RNF11	-0.94
RNF13	-1.51
	0.02
	0.25
	0.7
	2.44
MZT2A	2.48
	2.0
ATRX	-0.95
PMM2	-1.36
PMM1	0.24
ASS1	1.06
	-0.92
MVB12A	-1.09
ATRIP	-0.5
ZNF703	1.7
SPR	-1.29
	-1.0
ZNF707	2.62
ZNF706	-1.34
	-2.25
RNF115	0.06
	-0.69
ZC3H14	0.12
RNF111	-3.02
	-0.28
ZC3H18	1.44
DHX8	-3.89
DHX9	-1.08
TCOF1	1.09
NSRP1	-1.54
NUP98	0.7
XPC	-1.34
SP1	0.26
GRINA	1.14
SP3	1.44
NUP93	1.32
SPPL3	-1.66
GOLIM4	0.91
OPA3	0.42
OPA1	0.55
RAB40C	-0.67
FBL	0.86
	1.04
GTSE1	2.38
B2M	-1.67
	0.76
SPPL2A	-1.91
SPPL2B	0.3
NOP9	-0.55
UGCG	0.65
ATP2A1	-0.78
ATP2A2	-2.87
ATP2A3	-0.25
ITGA1	0.06
ITGA2	-3.04
ITGA3	-0.83
ACO1	-0.33
ITGA5	-2.72
ITGA6	-3.08
DENND4A	0.86
DENND4B	2.2
DENND4C	-2.12
SWAP70	1.67
PHLDA1	0.72
PHLDA3	-1.66
UFSP2	-0.93
	-1.5
	1.61
FBXL12	1.12
TIPRL	1.41
FBXL17	-0.62
FBXL16	-0.67
FBXL19	0.53
FBXL18	0.84
GHDC	-1.4
	0.3
THSD4	0.64
ABHD14A	0.6
COL4A6	1.89
COL4A5	-3.27
	-0.03
COL4A2	-2.91
COL4A1	-1.62
SLC35D2	-0.14
GRN	-3.27
CHST3	-1.5
GCLM	1.55
HLCS	-0.5
ITGAV	-2.97
	0.51
ITGAE	-0.47
TRERF1	-1.91
LRPAP1	-0.84
SMAD5	-1.54
GOLPH3L	-1.88
SMAD1	-0.44
SMAD2	-0.19
SMAD3	1.26
MUS81	1.64
AMMECR1L	1.92
	-0.78
NECAP1	-0.66
IGF2R	0.03
SLC36A4	-2.86
CKS1B	-0.57
ERICH1	-0.5
C14orf119	1.51
HAUS7	1.4
ADRM1	-1.64
TCEA2	0.06
TCEA1	0.84
ABCD1	0.52
COX4I1	-0.12
BFAR	-1.38
	-1.78
	2.79
	0.53
CCDC117	0.83
RLF	-2.12
CCDC112	1.02
CCDC113	1.66
LEO1	0.02
MTCL1	3.22
ATP1A4	-1.94
ATP1A3	-2.39
ATP1A2	-1.93
ATP1A1	-5.49
	-3.49
MGRN1	1.96
TCP1	1.51
CRTAP	1.77
SPHK2	0.98
SPHK1	-0.91
	-0.14
MDH1	-2.04
CUEDC2	2.34
CBLB	-0.37
CPEB4	0.42
CPEB1	-0.07
CPEB3	1.43
BEGAIN	1.22
SRBD1	-2.59
FRG1	2.3
RHEBL1	-1.21
C2CD5	-0.51
IFT80	0.04
IFT81	1.26
IFT88	-0.33
SP2	0.29
	0.4
MCM10	-2.18
SP4	0.61
IL10RB	-0.91
ATG4C	0.34
ATG4B	1.95
ATG4A	1.01
THUMPD2	-0.8
ATG4D	0.74
CFI	-1.22
PNP	-2.04
ANKFY1	0.05
CFB	0.42
	1.04
CREBBP	-1.48
PNN	-2.78
ATP6V0E1	-1.33
NFIL3	-2.1
	5.3
AAAS	-0.63
SIDT2	-2.03
CREB3	0.09
SIX4	0.25
SIX5	2.19
	1.51
	-0.62
MR1	-1.56
SIX2	0.65
CNPY4	-1.28
CNPY3	-1.06
CNPY2	4.29
	-1.41
SYNJ1	0.01
HMG20A	-1.11
HMG20B	1.48
AAGAB	-0.99
SYNJ2	2.3
SMDT1	-1.1
SYPL2	-1.87
	-1.66
APP	-2.82
RFX7	-3.35
RFX1	-1.13
RFX2	0.53
RFX3	0.53
YDJC	-0.25
IBA57	-0.57
APC	-2.17
TMEM179B	0.0
ABCE1	1.27
UQCRC2	-0.11
XPNPEP1	0.94
	0.18
GGCX	-1.85
PAPLN	-0.58
ADNP	-2.24
	-0.94
KHDRBS1	0.6
	-1.07
GGCT	-0.6
	-0.14
	1.81
	-0.04
C11orf1	0.42
TARS2	-0.36
	1.45
	1.95
	0.06
IGFBP3	0.0
LRFN1	-1.31
BOP1	2.45
IGFBP7	0.99
CYP1B1	1.43
CKLF	0.37
HNRNPA1L2	-0.81
	1.13
KDM3B	-1.6
KDM3A	-1.73
NIF3L1	-1.75
NSL1	2.0
TMC6	0.42
TMC7	-0.88
APIP	0.8
EIF2B4	0.52
GTPBP2	-2.25
EIF2B2	-1.17
EIF2B3	-1.5
EIF2B1	0.78
PRKAR2A	0.0
MAGT1	-4.72
TXNIP	-3.18
QPRT	2.32
IFT140	1.26
MLF2	1.07
TMEM14C	1.17
	1.53
TMEM14A	-0.89
FANCF	1.05
MECOM	-0.8
ITGA2B	1.61
FANCE	0.71
TTC1	0.53
	0.53
	-1.18
CEPT1	-1.44
PHACTR4	0.25
CLIC4	0.03
NOP2	-2.63
NLGN2	-2.46
CLIC3	0.04
LRSAM1	-1.58
NUP107	-0.97
	1.39
	-1.24
TMEM147	0.19
ENY2	-1.4
	0.98
FOXL2	1.53
RIT1	-0.28
TMEM141	1.95
API5	1.37
	-1.84
LRFN4	-0.57
